question,topics,answer
In what year did the radio presentation War of the Worlds cause a panic because many people thought that Martians were invading the Earth?,General Knowledge;History,1938
Jupiter is the largest planet in our solar system. How many times larger in volume is Jupiter than the Earth?,General Knowledge;Science,1321.33
What percent of the Earth's water area does the Atlantic Ocean make up?,General Knowledge;Geography,21.26
In what year did the repeal of Prohibition make it legal once again to sell alcohol in the US?,General Knowledge;History,1933
How many official languages are used by the United Nations?,General Knowledge,6
"In what year was penicillin, the first antibiotic, discovered?",General Knowledge;Science,1928
How many US $1 bills would be contained in a stack of bills one foot high?,General Knowledge;Money,2746
In what year was the film Citizen Kane first released?,General Knowledge;Film,1941
"How many artists made up USA for Africa, the group that recorded the 1985 hit song We Are the World?",General Knowledge;Music,45
"Rhode Island is the smallest US state, while Alaska is the largest. How many Rhode Islands could fit into the land area of Alaska?",General Knowledge;Geography,546
What percent of the US population disapproved of Richard Nixon's presidency in August 1974?,General Knowledge;History,66
The world's population reached 1 billion in 1804. In what year did it reach 2 billion?,General Knowledge;Geography,1927
"The femur is the longest bone in the human body. On average, how many inches long is this bone in an adult male?",General Knowledge;Science,19.88
What is the record for most touchdowns scored by a single player in an NFL season?,General Knowledge;Sport,31
In what year was the Atari 2600 video game system first sold in the US?,General Knowledge;History,1977
In what year were African-Americans in the US granted the right to vote?,General Knowledge;History,1870
"In miles, how wide is the English Channel at its narrowest point?",General Knowledge;Geography,21
How many speaking roles were there in The Lord of the Rings movie trilogy?,General Knowledge;Film,114
In what year did Rapper's Delight become the first rap song to enter the Billboard Top 40 chart?,General Knowledge;Music,1979
How many Category 5 hurricanes hit the US during the 20th century?,General Knowledge;Science,3
"10,500 athletes competed in the 2004 Summer Olympics. How many were expelled for drug violations?",General Knowledge;Sport,24
"In what year did rockers Buddy Holly, Ritchie Valens, and the Big Bopper die in a plane crash following a concert?",General Knowledge;Music,1959
What percent of the Earth's water area does the Pacific Ocean make up?,General Knowledge;Geography,43.07
What percent of US land area does Texas make up?,General Knowledge;Geography,7.4
In what year was an African-American first appointed to the US cabinet?,General Knowledge;History,1966
"In 2007, how many hours per week did the average American spend surfing the internet?",General Knowledge,28.51
In what year did a company first provide consumers with dial-up internet access?,General Knowledge;History,1989
Wayne Gretzky holds the National Hockey League record for most career goals. How many goals did he average per season?,General Knowledge;Sport,42.57
How many Grammy Awards did Elvis Presley win?,General Knowledge;Music,3
In what year was the novel Frankenstein first published?,General Knowledge;Literature,1818
How many feet above sea level is the highest point on the world's tallest volcano?,General Knowledge;Geography,22615
In what year did the siege of the Alamo occur in Texas?,General Knowledge;History,1836
How many spaces are there on a Trivial Pursuit board?,General Knowledge;Games,73
"The Australian dragonfly is the fastest flying insect. In miles per hour, what is its average speed?",General Knowledge;Animals,24
In what year was Pete Rose banned from Major League Baseball?,General Knowledge;Sport,1989
"Jimi Hendrix's Fender Stratocaster electric guitar was auctioned in 1990. In dollars, what was the sale price?",General Knowledge;Music,323522
"In millions, how many viewers watched the final episode of Seinfeld?",General Knowledge;Film,76
What percent of US land area does Alaska make up?,General Knowledge;Geography,16.17
President Bush's 2007 State of the Union speech lasted 49 minutes. How many times was he interrupted by applause?,General Knowledge;History,58
"Before The Departed, how many full-length feature films did Martin Scorcese direct?",General Knowledge;Film,25
In what year did the US Surgeon General first declare that cigarettes are addictive?,General Knowledge;Science,1988
Pete Rose holds the Major League Baseball record for most career hits. How many hits did he average per season?,General Knowledge;Sport,177.33
In what year did LEGO introduce its first building blocks?,General Knowledge;Games,1949
How many weeks did Michael Jackson's Thriller spend at #1 on the Billboard 200 album chart?,General Knowledge;Music,37
How many miles is it in a straight line between New York and Los Angeles?,General Knowledge;Geography,2462
How many days passed between election night 2000 and Al Gore's final concession to George W. Bush?,General Knowledge;History,36
What percent of the US federal prison population is imprisoned for drug offenses (as of 2007)?,General Knowledge,53.6
How many miles does light travel in one second?,General Knowledge;Science,186282
How many touchdown passes did Joe Montana throw during his 15-year NFL career?,General Knowledge;Sport,273
How many cards are in an original Uno deck?,General Knowledge;Games,108
"In miles, what is the distance around the Earth at its equator?",General Knowledge;Geography,24902
"In feet, how deep is the world's deepest ocean trench?",General Knowledge;Geography,35840
How many southern states joined the Confederacy during the US Civil War?,General Knowledge;History,11
In what year was a newspaper first published in the US?,General Knowledge;History,1690
"In days, what is the longest that any astronaut has spent in space on a single mission?",General Knowledge;Science,437.75
"Cal Ripken, Jr. holds the Major League Baseball record for most consecutive games played. How many games did he play in a row?",General Knowledge;Sport,2632
How many actresses have received Emmy nominations for their role on Desperate Housewives?,General Knowledge;Film,7
"In miles per hour, what is the minimum wind speed necessary for a Category 5 hurricane?",General Knowledge;Science,156
"In dollars, how much did the most expensive ticket cost on the Titanic in 1912?",General Knowledge;Money,4350
In what year did Texas become a US state?,General Knowledge;History,1845
How many years older is the Jewish calendar than the Christian calendar?,General Knowledge;History,3760
How many years passed between the introduction of Coca-Cola and the introduction of Diet Coke?,General Knowledge;Food,96
"The first Indianapolis 500 car race was held in 1911. In miles per hour, what was the average speed of the winner?",General Knowledge;Sport,74.6
"In dollars, how much was Margaret Mitchell paid for the rights to make her novel Gone with the Wind into a movie?",General Knowledge;Money,50000
"In what year did Washington, DC become the home of the US federal government?",General Knowledge;History,1800
How many miles long is the Nile River?,General Knowledge;Geography,4160
In what year did Alexander Graham Bell receive a patent for the invention of the telephone?,General Knowledge;History,1876
How many children's books did Dr. Suess write and illustrate?,General Knowledge;Literature,44
How many glasses of milk does the average milk cow produce in a year?,General Knowledge;Animals,46000
In what year did a man first barrel over Niagara Falls and survive?,General Knowledge;History,1911
"In 2007, how many people on average watched CBS' The Early Show each day?",General Knowledge;Film,3030000
What percent of US credit card bills are paid in full each month (as of 2007)?,General Knowledge;Money,55.3
2 million people lived in Detroit in 1980. How many people lived in Detroit in 2005?,General Knowledge;Geography,886671
"In years, how old was Anna Nicole Smith when she died?",General Knowledge,39
What percent of Americans age 18 to 29 have at least one tattoo (as of 2006)?,General Knowledge,36
"In miles per hour, how fast does sound travel at sea level?",General Knowledge;Science,761
How many touchdown passes did Dan Marino average per season?,General Knowledge;Sport,24.71
How many times has actress Elizabeth Taylor been married?,General Knowledge;Film,8
In what year was the US Social Security system created?,General Knowledge;History,1935
What percent of US women are left-handed?,General Knowledge;Science,8
In what year did Abraham Lincoln deliver the Gettysburg Address?,General Knowledge;History,1863
What percent of US holiday shoppers expect at least one of their gifts to be returned (as of 2004)?,General Knowledge;Money,56
In what year did Sally Ride become the first American woman to travel into space?,General Knowledge;Science,1983
"In feet, how long is a regulation tennis court?",General Knowledge;Sport,78
"In what year did Led Zeppelin first release the album Led Zeppelin IV, which contained the song Stairway to Heaven?",General Knowledge;Music,1971
How many bedrooms does Buckingham Palace have?,General Knowledge,240
"In inches, what is the standard distance between US railroad tracks?",General Knowledge,56.5
In what year did a US president first live in the White House?,General Knowledge;History,1800
"In dollars, how much did the average gallon of gasoline cost in the US in 1980?",General Knowledge;Money,1.22
How many Olympic medals has track & field star Carl Lewis won?,General Knowledge;Sport,9
Stevie Wonder was the youngest male soloist to have a #1 US single. How old was he when he achieved this feat?,General Knowledge;Music,13
"In what year was Rosa Parks arrested for refusing to give up her seat on a bus in Montgomery, Alabama?",General Knowledge;History,1955
How many feet below sea level is the Dead Sea?,General Knowledge;Geography,1348
How many pounds does the comic book character Wonder Woman weigh?,General Knowledge,165
"In 2006, how many emails were sent on an average day (in billions)?",General Knowledge,31
"If a person weighs 100 pounds on Earth, how many pounds would they weigh on the surface of the moon?",General Knowledge;Science,16.5
What percent of Americans find the commercials to be the most important part of the Super Bowl (as of 2007)?,General Knowledge;Sport,18.1
In what year did U2 first release the album Achtung Baby?,General Knowledge;Music,1992
How many gallons of water does it take to fill up an Olympic-size pool?,General Knowledge,800000
2 John has the smallest number of verses in the New Testament. How many verses does it have?,Bible,13
How old was Adam when he died?,Bible,930
How many Philistine foreskins did Saul require David to obtain before he would allow his daughter Michal to marry David?,Bible,100
How many verses does Psalms 119 have?,Bible,176
"How many letters did Paul write in the New Testament? Note: Given that the author does not identify himself in the Book of Hebrews, it will be excluded from the answer.",Bible,13
How old was Noah when the Flood occurred?,Bible,600
How old was Abraham when his first son was born?,Bible,86
"In what year did Charles Dickens first publish the novel ""A Christmas Carol""?",Christmas;Literature,1843
"In the movie ""A Christmas Story"" how many times does Ralphie say he wants a Red Ryder BB Gun?",Christmas;Film,28
What percent of Americans watch the same movie each year as part of their Christmas holiday tradition?,Christmas;Film,61
"Suppose you got all the Christmas gifts from your true love, as the song goes in the 12 days of Christmas. How many gifts would you have?",Christmas;Music,364
In what year was the electric holiday lighting first used during the U.S. Christmas season?,Christmas;History,1882
"On average, what percent of all U.S. holiday shopping is completed in the final week before Christmas?",Christmas;Money,32
"The record for tallest Christmas tree was recorded in Milan, Italy, in December 2003. How tall (in feet) was the tree?",Christmas,334
How many books are in Euclid's Elements?,Literature;Science,13
When did Immanuel Kant first publish The Critique of Pure Reason?,Literature,1781
"The first influential novel, Don Quixote, was published in what year?",Literature,1605
For how many years is Odysseus stuck on Calypso's island?,Literature,8
"How many dialogues are in the ""The Collected Dialogues of Plato""?",Literature,28
"Excluding both of the epilogues, how many chapters are in Leo Tolstoy's novel War and Peace?",Literature,337
How many full-length plays did William Shakespeare write?,Literature,37
In what year did the Council of Nicaea decide that all Christians must celebrate Easter on a Sunday?,Easter;History,325
"In the West, what year was the last time Easter fell on March 22nd, the earliest possible day of year it can occur?",Easter,1818
"In the West, what year was the last time Easter fell on April 25th, the latest possible day of year it can occur?",Easter,1943
How many jeweled eggs were made by Carl Fabergé and his assistants?,Easter,69
In what year did Carl Fabergé make his first jeweled egg?,Easter,1885
In what year was Christ crucified?,Easter;History,30
"In what year was the first White House lawn egg rolling contest held, traditionally on the Monday after Easter?",Easter;History,1878
"Puerto Rico is the #1 ranked game on the Board Game Geek. On May 1st 2006, how many ratings did Puerto Rico have on the Board Game Geek?",Games,5838
"On August 1st 2007, what was the ranking of Settlers Of Catan on the Board Game Geek?",Games,20
"On August 1st 2007, what was the ranking of Chess on the Board Game Geek?",Games,176
"On February 28th 2008, Wits & Wagers was ranked above Zooloretto and below Taluva. What was its ranking on the Board Game Geek?",Games,172
How many new Reiner Knizia publications are listed for 2005 on his homepage?,Games,97
How many total wooden pieces are supposed to come in a game of Puerto Rico?,Games,150
How many tiles (not including scoring tablets) are included in the original 1999 version of Ra?,Games,180
In what year was the Count Dracula Society formed?,Halloween,1962
"How many days did it take to film the movie ""Halloween"" in 1978?",Halloween;Film,21
How many millions of dollars do American candy companies earn from selling Halloween candy on average?,Halloween;Money,2000
How many pounds was the world's heaviest pumpkin?,Halloween;Food,1385
How many pounds of candy did the average American consume in 2002?,Halloween;Food,24
"How old was Elvira, the Mistress of the Dark, on September 17th, 2007?",Halloween;Film,58
In what year was Frankenstein written by Mary Shelley?,Halloween;Literature,1818
In what year was the Pledge of Allegiance written?,Memorial Day;History,1892
"As of 2007, how many Indianapolis 500 races have been run?",Memorial Day;Sport,91
In what year was West Point founded?,Memorial Day;History,1802
How many German soldiers did Sergeant York and his squad of 7 soldiers capture in 1918 in World War I?,Memorial Day;History,132
How many people (in millions) died in World War I?,Memorial Day;History,20
In what year was the first day of rememberance of fallen soldiers held in the U.S.?,Memorial Day;History,1866
How many names are on the the Vietnam Veteran's Memorial Wall?,Memorial Day;History,58195
How old was Jeff Gordon during the 2007 Race for the Cup?,NASCAR;Sport,36
"In inches, how tall is Jeff Gordon?",NASCAR;Sport,67
How many pounds does Jeff Gordon weight?,NASCAR;Sport,150
Kevin Harvick won the 2007 Daytona 500. How many money did he win?,NASCAR;Money,1563470
In what place did Jimmie Johnson finish the 2007 Daytona 500?,NASCAR;Sport,37
How many career wins did Jimmie Johnson have at the beginning of the 2007 season?,NASCAR;Sport,23
Jimmie Johnson won more money than any other NASCAR driver during the 2006 season. How much money did he win?,NASCAR;Money,8909140
"How many people attended the St. Patrick's Day parade in Dublin, Ireland, in 2006?",St. Patrick's Day,500000
In what year was the first St. Patrick's Day parade held in Boston?,St. Patrick's Day;History,1737
The famous blue Blarney Stone was set into Blarney Castle in what year?,St. Patrick's Day;History,1446
Women made up what percentage of drunk driver arrests in the U.S. in 2006?,St. Patrick's Day,22
How many people did St. Patrick baptize in his lifetime?,St. Patrick's Day;History,120000
How many calories in a 16 oz. McDonalds Shamrock Shake?,St. Patrick's Day;Food,580
In what year was St. Patrick born?,St. Patrick's Day;History,385
"In 2005, how many turkeys (in millions) were killed for Thanksgiving meals?",Thanksgiving;Food,45
"In 2004, how many people (in millions) watched the Macy's Thanksgiving Day parade on television?",Thanksgiving,44
What is the most helium (in cubic feet) ever used to inflate the Macy's Thanksgiving Day parade ballons?,Thanksgiving;Science,400000
What year did the Pilgrims hold Thanksgiving with Native Americans for the first time?,Thanksgiving;History,1621
"According to the Guinness Book of Records, the largest ever turkey raised was how many pounds?",Thanksgiving;Animals,86
How many professional football games have been played on Thanksgiving Day?,Thanksgiving;Sport,191
How many calories will the average American consume on Thanksgiving?,Thanksgiving;Food,4500
How many Valentine's Day cards (in millions) were given worldwide in 2007?,Valentine's Day,1000
What percentage of people who buy flowers for Valentine's Day are men?,Valentine's Day,73
"What day of the year in 2008 do Japanese women give chocolate to men (e.g., Jan. 29 = 29)?",Valentine's Day;Food,74
In what year did the Valentine's Day Massacre occur?,Valentine's Day;History,1929
In what year was Romeo and Juliet written?,Valentine's Day;Literature,1595
How many different Valentine's Day cards does Hallmark have?,Valentine's Day,1330
In what year did St. Valentine die?,Valentine's Day;History,269
